@relation sentiment-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute tweet string
@attribute polarity {negative,positive}

@data
469,'im melting sighs serendipity is such a sweet sweet movie i love it ',positive
470,'username wake up with ah jon tweet the best start for my day  thx jon love you',positive
471,'got an inspiration gt dyeing my hair ',positive
472,'just  created this accountlooking around ',positive
473,'username im gunna do both of those things ',positive
474,'url  so far it is interesting ',positive
475,'havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time',positive
476,'username     thats a longtime good for you   ',positive
477,'username jizzin in my pants excited about seeing armin van buuren tomorrow ',positive
478,'username good luck and let me know how it goes ',positive
479,'username congrats from peru you wereare amazing i was speechlessthank u so much come here someday plz ill wait forever seriously ',positive
480,'username congrats on the newborn our first is due in june ',positive
481,'dodgers beat the padres  go blue',positive
482,'username lol esp when your updates hit my phone ',positive
483,'username im just glad you appreciate iowa    come back in late summer when theyre cutting hay  bestsmell ever',positive
484,'username  having fun loving life happy to be in the game everything else is a bonus not just bs either',positive
485,'username  aww is there anything i can do ',positive
486,'but i do not mind  goodnight',positive
487,'username oh lets let it be a surprise ',positive
488,'proud future member of the rb ',positive
489,'username heyy  you got those pictures of donnies gift on the usb stick ',positive
490,'giant drag quotwicked gamequot  url musicmonday  better than the original amp the commercial promo song for niptuck season 5 ',positive
491,'username fabulous post about wordahead  and overall loved your blog',positive
492,'much luv to username amp username whos now following me on twitter ',positive
493,'username username rocks but dont tell her i said that ',positive
494,'username if its something you will enjoy and will make you happy why not do it ',positive
495,'just discovered tonight that her church is serving breakfast on easter  im not sure why this is so exciting but i suspect the baby',positive
496,'username ',positive
497,'username morning ',positive
498,'finally back on twitter ',positive
499,'god sho love him some me  feeling really really blessed tonight',positive
500,'username i cant wait to see you buddy ',positive
501,'username thanks allan they are photos from a joolz soiree i held up in brisbane last year ',positive
502,'there is link about how to enjoy dark chocolate within the post  url',positive
503,'username if i know how to do something and have time its so easy to answer ',positive
504,'wow the house looks so differentand oh my god my doggies ',positive
505,'ahh loved this sunny dayi am working a good sun burn on my nose ',positive
506,'username i had to read it last semester  by quotreadquot i mean skim for keywords and read online outlines   got an a too ',positive
507,'username yay love boxnet  my first business partner sam ghods is on the founding team so proud of him 4 building an excellent utility',positive
508,'username glad to hear that you had such a great night you rock amp i hope tonight is just the 1st of many feel good shows for you ',positive
509,'anyone else catch scott bakulas quotoh boyquot in chuck tonight  ',positive
510,'username the media is a trip period we have to guard our mindsalong with our hearts dont fret msbadu ur the best its true ',positive
511,'ahh the tedium of fixing broken file links in inventor  good times  ',positive
512,'username  where ',positive
513,'username mondays are what you make of it ',positive
514,'well in the past two days i have had 45 min of sleep  im going to watch tv while laying in bed and try to sleep night peepers ',positive
515,'im officially going to bed goodnight ',positive
516,'i now have painting clothes   ',positive
517,'username lol not yet my brutha from anotha mutha ',positive
518,'ryanrossfanz  lt follow them  ryan is uber',positive
519,'username you close your eyes and pick one and hit reply ',positive
520,'username connections academy has been great for our familyand thousands more across the country  happy to tell you more ',positive
521,'username hum nice 1 lol take somethinglol yeah party over there haha u kno them drunk asss  will i b seeing you  janets party',positive
522,'nightcard the star what a wonderful card for a new beginning both for you and ankie 10  welcome ',positive
523,'loves the german bakeries in sydney together with my imported honey it feels like home ',positive
524,'im an uncle now ',positive
525,'username levoncouldnt have said it better my self  ',positive
526,'username i should change my name to qoosfr queen of obscure science fiction references instead of cbn2 which only 1 person understands ',positive
527,'username  our picnic will be fabulous',positive
528,'username welcome back to nyc ',positive
529,'username sorry i am talking to my best friend so i havent replied  but i can talk to you too',positive
530,'username oh ok then i am gonna go and buy one for when i come up there ',positive
531,'tafe quiz then photoshoot with my sezdawg ',positive
532,'username good luck with your challenge ',positive
533,'oh oh found some clothes  and i love em xd',positive
534,'rocking out to no doubt and gonna start up some more neverwinter nights ',positive
535,'username phew all that hair gyal ',positive
536,'keepin it real  ',positive
537,'lt branded ',positive
538,'im adding my fellow pfers  nice to see so many of us here too ',positive
539,'had a good time at eat n park drinking a latte and playing munchkin impossible with username ',positive
540,'username  im sure you and your site will ',positive
541,'username good luck with the cruise your gonna need it ',positive
542,'username  well im doing whatever our neighbor tells us and if that produces vegetables im cooking them',positive
543,'username hi there cel  how are you doing today',positive
544,'username good morning chubbx  how are you today',positive
545,'username dont blame me  i just like good things ',positive
546,'username okay i think little oven again on wednesday  79pm',positive
547,'username thats most excellent  lotsa people loving you hehe winks',positive
548,'username its an odd little thing isnt it is it from another planet but i think i like it ',positive
549,'amidst all these recession talks my friend told me yesterday that she got a pay hike  it sure is a nice to hear that',positive
550,'is now using windows and tweetdeck temporarily ',positive
551,'i joined shoedazzle society by username i am excited cant wait for my shoe selection  link url',positive
552,'username i know  i should have made some taken them to my meetings amp i should have foreseen my sister was going 2 pick up a stray ',positive
553,'username you can direct message usmeall of uswhatever you want ',positive
554,'username here it is  url',positive
555,'week 2 of the fitness challenge and im starting off strong  just submitted my stats for the night and it aint bad ',positive
556,'your following for a reason  wwfacesbyrozzjcom',positive
557,'i missed twitter ym multiply and pet society i havent been able to use the internet because i was quite busy for the past few days ',positive
558,'username juz watchin 3 eps of your show hm i must say i instantly became a fan of urs  lovin ur humor so mucho more power 2 u ',positive
559,'i have a new background  it didnt exactly work how i wanted but i was bored with the old one',positive
560,'if you are at paragon please vote my work  lol',positive
561,'username i keep forgetting you are in a different time zone than normal i see your tweets about the morning when its 1045pm here ',positive
562,'username do you have an example of the animation i mean a youtube video or something im curious to see it work snowing there too ',positive
563,'username need an invite to hunch ',positive
564,'username thought you were a mac ',positive
565,'username maybe jordan could help you answer a few just an idea ',positive
566,'finally made my map of panama quotwhats a panama is that like an animalquot haha love my friends ',positive
567,'username ',positive
568,'username i will gladly give you the squirrel in jennys house if you join us a squirrel itll kill two birds with one stone ',positive
569,'got the vocals done now time for the best part the music track or bed whichever you wanna call it lol ',positive
570,'will be part of my friends wedding entourage in tagalog abay sa kasal ill be carrying the veil thanks mau ',positive
571,'username its the weather petal dont sweat it  oh    sorry  ',positive
572,'username hey there  how are you today ',positive
573,'whoops sorry to anyone trying to email me earlier today my inbox was full but should now be empty ',positive
574,'username lol i wasnt complaining just making sure username wasnt getting off before me but username cleared that up ',positive
575,'username that is one freaky movie i like quoti got lifequot ',positive
576,'megan is hanging out ',positive
577,'going to bed and then up early to prep for an interview in cleveland tomorrow ',positive
578,'a healthy remedy for you and your dog  url dogs',positive
579,'that was sick soma rocks ',positive
580,'username  yeplol  i was bored edward is hunting with the guys',positive
581,'username heyy you ',positive
582,'studying philosophy and math ltblah aka listening to music and on twitter facebook and myspace ',positive
583,'username there is no way on earth that you can answer everyone  will you ask donnie if he got the gift from my 9 yr old lastnight',positive
584,'on my psp browser for the first time in over a year ',positive
585,'username good luck to you ',positive
586,'is glad the angels won their first game of the season ',positive
587,'username i have absolutely no doubt that i will  heres to your continued success ',positive
588,'another day in the office 2 days to go  url',positive
589,'username nice  yeah so wish i could afford those things',positive
590,'username i want to see that too but itll take so long to get 800 friends ',positive
591,'uploading the greatest cartoon from the newspaper ever  regarding twitter ',positive
592,'username glad you liked that henry ford had a good idea every now and then didnt he ',positive
593,'studying with friends  thats my update',positive
594,'username im glad everythings going good for you guys ',positive
595,'username dont worry about it we are just happy to have you on here ',positive
596,'username ill get those stuff fr the ukjapan if im desperate enough for headphones from the us i might do jac my tita can be slow ',positive
597,'username you wouldnt happen to still be in nyc doing gigs on friday or saturday next week ',positive
598,'ty  username  soon i upload too  emmylou harris  ill be your baby tonight gr8fl   url',positive
599,'cheeck thiss hand cuz im marvelous  boy idk hoow im gona make it threw this week ',positive
600,'watching seven pounds with my mom i hope i dont fall asleep aftermidnightproject tomorrow ',positive
601,'username awesome  home from work around 430 and then have to take the puppy out then to capones ',positive
602,'username  that photo is vegas ',positive
603,'username  yeah  opening day too',positive
604,'username i feel you i hate working out too but our results will be major when you look good you feel good ',positive
605,'username the as are my al team ',positive
606,'had a really good day    off to do some shopping',positive
607,'username oki did ithope it works now ',positive
608,'username good night  sweet dreamz',positive
609,'username i hope that scentsational doesnt get dissed ',positive
610,'will invite people to twitter ',positive
611,'username username coming soon enough my friends  big project in works for just that  good new and only good news ',positive
612,'username woohoo  yeah that day i was rockin it hard core  ',positive
613,'username hey jon we all love ya and understandthats all it counts  ',positive
614,'username no internship yet but ive got a place to stay w any luck ill spend some time in teaneck before heading back to utah ',positive
615,'if i can make it to bed without running into a wall or tripping over my own feet that is heh ',positive
616,'username yes using it for 3 week now pretty happy with the result ',positive
617,'username exactly ',positive
618,'i wonder how long i can stay up until i pass out and wake up again at 6 ',positive
619,'username great words of wisdom ddub now can you tell the doctor to let me have some alcohol amp caffeine ',positive
620,'username so good knight and sleep well  i know i will now ',positive
621,'exhausted but glad i got to see unc become national champs  ',positive
622,'centrelink wasnt as bad as i thought it was going to be  ',positive
623,'username wouldnt want you any other way ',positive
624,'is hella excited cuz the italian is here ',positive
625,'love having access to a research machine with 4 quad core 64 bit opterons and 60 gigs of ram ',positive
626,'it was quick but exhausting 1 day  a time ',positive
627,'jasmine and bohdi are here for the holidays ',positive
628,'username im good had some very strange dreams last night but hey dreamin means im sleepin  hows you this morning',positive
629,'going outside to jump on my trampoine  woot',positive
630,'username today was rad we made it into the finals for cross country yay love you sophie lt3 l ps everythins cool with my mates ',positive
631,'username lol i was thinking the same thing ',positive
632,'username dont feel pressured none of us expect a reply back were just happy to be able to listen to you talk  ',positive
633,'username oh quotshooterquot is a good movie  only seen it once tho  gotta put that back on my quotto watchquot list ',positive
634,'username i can tell u have spoken fb amp twitter are on fire right now  hope ur feelin better love  have a great night',positive
635,'username i hate morn workouts bc i love to sleep late  ha have fun in mexico love the show is the trip gonna air on keeping up',positive
636,'im feeling somewhat artistictime to break out the sketching pad i feel a new dress design coming ',positive
637,'username go on marys listening ',positive
638,'username ',positive
639,'nodame cantabile is lt3 i think im falling in love with classical music ',positive
640,'so i just ordered my copy of hardcore underground 3  love me love me canary in skinny jeans going balls deep',positive
641,'username amp username the dinner menu this week is something pastay we have cheese and also chicken noodle soup ',positive
642,'new jersey here i come ',positive
643,'on facebook ',positive
644,'username good point 2 draw  2 dont  nice quote though i like that',positive
645,'username goodnight ',positive
646,'username lead me to the cross is one of my favorites great job d ',positive
647,'just got back from starbucks tried the tea with lemonade very good  miss gg already 1st one',positive
648,'boom boom powoops ',positive
649,'the super red diva   stupid university ',positive
650,'this latest episode of newnownext is like full of awesome ',positive
651,'when you just want things to end remember to have faith because one day its all going to be alright ',positive
652,' pbnjen  thanks for the great tour and making me even more excited to work in pr  you rock and so does sampbwould love to work there',positive
653,'username you give me joyand you have for years you are such an amazing man and we are all lucky to know you ',positive
654,'username did you check out url we arent a dictionary but we are all about visual vocabulary  come have fun',positive
655,'artistic affirmation from a drunk lady was kinda just what i needed ',positive
656,'username  honey goodnight i am up really early in the morning busy day will catch up with you later tomorrow ',positive
657,'a je kaken rip od trenutek resnice link link link ',positive
658,'lamb chowmein for dinner tonight hhmm with slightly roasted buttered dinner rolls yum yum yum so hungry ',positive
659,'tweeting from my brand new sony psp just because i can  ',positive
660,'username hey you should go on tour sometime with your brother metro station is freakin awesome ',positive
661,'well tweeps im off i gotta have a shower then go get a haircut good bye everyone ',positive
662,'username ive just seen your flickr and ive fallen in love just wonderful awesome  ',positive
663,'username sorry it wasnt wrath of khan  but we made do ',positive
664,'juggernaut dr doom magneto amp xavier  ahahah today was a good day n__n',positive
665,'username well have a geek off next time you are in tahoe but you need to get miss vicky jay reciting star wars by then ',positive
666,' aww dont make me blush',positive
667,'trying to figure this thing out ',positive
668,'watching quotthe princess bridequot i want a wesley ',positive
669,'username you can buy my fiances duplex in terwillegar ',positive
670,'username i could really eat some cheese  i have a hankering for some austrian smoked cheese yum',positive
671,'username i am so fucking jealous of you girl have fun though  xx',positive
672,'username my bunnys name was lucy  you can go ahead and guess who she was named after lmao',positive
673,'username any updates for iphone os 30 yet i miss you guys ',positive
674,'denise i love you ',positive
675,'happy morning la toat lumea  ',positive
676,'username well you can always digg or stumbleboth have aided me greatly in wasting countless hours of my life ',positive
677,'vote for username url   yayy',positive
678,'played  gpokrcom busted some n00b arses  waiting for pokerstars freeroll to begin and having coffee',positive
679,'username quotconveniencequot of the remedy ltthats just cuz you are a doc  24',positive
680,'karaoke with xt on wed and drum lessons on thursday what a week ill work somewhere in there ',positive
681,'username type it on the blog post and print it ',positive
682,'username  obi und hornbach baumarkt via twittercom username  obi und hornbach baumarkt url url',positive
683,'username aw thankslets hope so i am more worried about geoffs teeth hope you are having a good day h or hb ',positive
684,'watching keith olbermannlate late rerun then its on to the daily show which is having michael j fox on as guest my high school crush ',positive
685,'username username we found a great chinese place to hang out at ',positive
686,'username heh thanks for advertising my skills ',positive
687,'username not at all  i was so offline from here for about 6 wks with my packing and then moving to vegas ',positive
688,'username im excited about the books you received too ',positive
689,'username 8 more days wahlberg then its you and me     finally',positive
690,'username if im following u  its mandatory u follow me ',positive
691,'username the dvd is with me will bring when we meet next ',positive
692,'username well i dunnoi didnt give him an ans yet  u kno who am i talkin bout',positive
693,'username how that big baby boy doing how are you and em doing have you figured out you may never get a full nights rest again ',positive
694,'username hurry up and be the first person to publish a book of twitters ',positive
695,'username  i like that one ive used it on a project here',positive
696,'playing with my new toys ',positive
