@RELATION sentiment

@ATTRIBUTE tweet string
@ATTRIBUTE polarity {negative, positive}

@DATA
'username glad to hear that you had such a great night you rock amp i hope tonight is just the 1st of many feel good shows for you ', positive
'anyone else catch scott bakulas quotoh boyquot in chuck tonight  ', positive
'username the media is a trip period we have to guard our mindsalong with our hearts dont fret msbadu ur the best its true ', positive
'ahh the tedium of fixing broken file links in inventor  good times  ', positive
'username  where ', positive
'username mondays are what you make of it ', positive
'well in the past two days i have had 45 min of sleep  im going to watch tv while laying in bed and try to sleep night peepers ', positive
'im officially going to bed goodnight ', positive
'i now have painting clothes   ', positive
'username lol not yet my brutha from anotha mutha ', positive
'ryanrossfanz  lt follow them  ryan is uber', positive
'username you close your eyes and pick one and hit reply ', positive
'username connections academy has been great for our familyand thousands more across the country  happy to tell you more ', positive
'username hum nice 1 lol take somethinglol yeah party over there haha u kno them drunk asss  will i b seeing you  janets party', positive
'nightcard the star what a wonderful card for a new beginning both for you and ankie 10  welcome ', positive
'loves the german bakeries in sydney together with my imported honey it feels like home ', positive
'im an uncle now ', positive
'username levoncouldnt have said it better my self  ', positive
'username i should change my name to qoosfr queen of obscure science fiction references instead of cbn2 which only 1 person understands ', positive
'username  our picnic will be fabulous', positive
'username welcome back to nyc ', positive
'username sorry i am talking to my best friend so i havent replied  but i can talk to you too', positive
'username oh ok then i am gonna go and buy one for when i come up there ', positive
'tafe quiz then photoshoot with my sezdawg ', positive
'username good luck with your challenge ', positive
'oh oh found some clothes  and i love em xd', positive
'rocking out to no doubt and gonna start up some more neverwinter nights ', positive
'username phew all that hair gyal ', positive
'keepin it real  ', positive
'lt branded ', positive
'im adding my fellow pfers  nice to see so many of us here too ', positive
'had a good time at eat n park drinking a latte and playing munchkin impossible with username ', positive
'username  im sure you and your site will ', positive
'username good luck with the cruise your gonna need it ', positive
'username  well im doing whatever our neighbor tells us and if that produces vegetables im cooking them', positive
'username hi there cel  how are you doing today', positive
'username good morning chubbx  how are you today', positive
'username dont blame me  i just like good things ', positive
'username okay i think little oven again on wednesday  79pm', positive
'username thats most excellent  lotsa people loving you hehe winks', positive
'username its an odd little thing isnt it is it from another planet but i think i like it ', positive
'amidst all these recession talks my friend told me yesterday that she got a pay hike  it sure is a nice to hear that', positive
'is now using windows and tweetdeck temporarily ', positive
'i joined shoedazzle society by username i am excited cant wait for my shoe selection  link url', positive
'username i know  i should have made some taken them to my meetings amp i should have foreseen my sister was going 2 pick up a stray ', positive
'username you can direct message usmeall of uswhatever you want ', positive
'username here it is  url', positive
'week 2 of the fitness challenge and im starting off strong  just submitted my stats for the night and it aint bad ', positive
'your following for a reason  wwfacesbyrozzjcom', positive
'i missed twitter ym multiply and pet society i havent been able to use the internet because i was quite busy for the past few days ', positive
'username juz watchin 3 eps of your show hm i must say i instantly became a fan of urs  lovin ur humor so mucho more power 2 u ', positive
'i have a new background  it didnt exactly work how i wanted but i was bored with the old one', positive
'if you are at paragon please vote my work  lol', positive
'username i keep forgetting you are in a different time zone than normal i see your tweets about the morning when its 1045pm here ', positive
'username do you have an example of the animation i mean a youtube video or something im curious to see it work snowing there too ', positive
'username need an invite to hunch ', positive
'username thought you were a mac ', positive
'username maybe jordan could help you answer a few just an idea ', positive
'finally made my map of panama quotwhats a panama is that like an animalquot haha love my friends ', positive
'username ', positive
'username i will gladly give you the squirrel in jennys house if you join us a squirrel itll kill two birds with one stone ', positive
'got the vocals done now time for the best part the music track or bed whichever you wanna call it lol ', positive
'will be part of my friends wedding entourage in tagalog abay sa kasal ill be carrying the veil thanks mau ', positive
'username its the weather petal dont sweat it  oh    sorry  ', positive
'username hey there  how are you today ', positive
'whoops sorry to anyone trying to email me earlier today my inbox was full but should now be empty ', positive
'username lol i wasnt complaining just making sure username wasnt getting off before me but username cleared that up ', positive
'username that is one freaky movie i like quoti got lifequot ', positive
'megan is hanging out ', positive
'going to bed and then up early to prep for an interview in cleveland tomorrow ', positive
'a healthy remedy for you and your dog  url dogs', positive
'that was sick soma rocks ', positive
'username  yeplol  i was bored edward is hunting with the guys', positive
'username heyy you ', positive
'studying philosophy and math ltblah aka listening to music and on twitter facebook and myspace ', positive
'username there is no way on earth that you can answer everyone  will you ask donnie if he got the gift from my 9 yr old lastnight', positive
'on my psp browser for the first time in over a year ', positive
'username good luck to you ', positive
'is glad the angels won their first game of the season ', positive
'username i have absolutely no doubt that i will  heres to your continued success ', positive
'another day in the office 2 days to go  url', positive
'username nice  yeah so wish i could afford those things', positive
'username i want to see that too but itll take so long to get 800 friends ', positive
'uploading the greatest cartoon from the newspaper ever  regarding twitter ', positive
'username glad you liked that henry ford had a good idea every now and then didnt he ', positive
'studying with friends  thats my update', positive
'username im glad everythings going good for you guys ', positive
'username dont worry about it we are just happy to have you on here ', positive
'username ill get those stuff fr the ukjapan if im desperate enough for headphones from the us i might do jac my tita can be slow ', positive
'username you wouldnt happen to still be in nyc doing gigs on friday or saturday next week ', positive
'ty  username  soon i upload too  emmylou harris  ill be your baby tonight gr8fl   url', positive
'cheeck thiss hand cuz im marvelous  boy idk hoow im gona make it threw this week ', positive
'watching seven pounds with my mom i hope i dont fall asleep aftermidnightproject tomorrow ', positive
'username awesome  home from work around 430 and then have to take the puppy out then to capones ', positive
'username  that photo is vegas ', positive
'username  yeah  opening day too', positive
'username i feel you i hate working out too but our results will be major when you look good you feel good ', positive
'username the as are my al team ', positive
'had a really good day    off to do some shopping', positive
'username oki did ithope it works now ', positive
'username good night  sweet dreamz', positive
'username i hope that scentsational doesnt get dissed ', positive
'will invite people to twitter ', positive
'username username coming soon enough my friends  big project in works for just that  good new and only good news ', positive
'username woohoo  yeah that day i was rockin it hard core  ', positive
'username hey jon we all love ya and understandthats all it counts  ', positive
'username no internship yet but ive got a place to stay w any luck ill spend some time in teaneck before heading back to utah ', positive
'if i can make it to bed without running into a wall or tripping over my own feet that is heh ', positive
'username yes using it for 3 week now pretty happy with the result ', positive
'username exactly ', positive
'i wonder how long i can stay up until i pass out and wake up again at 6 ', positive
'username great words of wisdom ddub now can you tell the doctor to let me have some alcohol amp caffeine ', positive
'username so good knight and sleep well  i know i will now ', positive
'exhausted but glad i got to see unc become national champs  ', positive
'centrelink wasnt as bad as i thought it was going to be  ', positive
'username wouldnt want you any other way ', positive
'is hella excited cuz the italian is here ', positive
'love having access to a research machine with 4 quad core 64 bit opterons and 60 gigs of ram ', positive
'it was quick but exhausting 1 day  a time ', positive
'jasmine and bohdi are here for the holidays ', positive
'username im good had some very strange dreams last night but hey dreamin means im sleepin  hows you this morning', positive
'going outside to jump on my trampoine  woot', positive
'username today was rad we made it into the finals for cross country yay love you sophie lt3 l ps everythins cool with my mates ', positive
'username lol i was thinking the same thing ', positive
'username dont feel pressured none of us expect a reply back were just happy to be able to listen to you talk  ', positive
'username oh quotshooterquot is a good movie  only seen it once tho  gotta put that back on my quotto watchquot list ', positive
'username i can tell u have spoken fb amp twitter are on fire right now  hope ur feelin better love  have a great night', positive
'username i hate morn workouts bc i love to sleep late  ha have fun in mexico love the show is the trip gonna air on keeping up', positive
'im feeling somewhat artistictime to break out the sketching pad i feel a new dress design coming ', positive
'username go on marys listening ', positive
'username ', positive
'nodame cantabile is lt3 i think im falling in love with classical music ', positive
'so i just ordered my copy of hardcore underground 3  love me love me canary in skinny jeans going balls deep', positive
'username amp username the dinner menu this week is something pastay we have cheese and also chicken noodle soup ', positive
'new jersey here i come ', positive
'on facebook ', positive
'username good point 2 draw  2 dont  nice quote though i like that', positive
'username goodnight ', positive
'username lead me to the cross is one of my favorites great job d ', positive
'just got back from starbucks tried the tea with lemonade very good  miss gg already 1st one', positive
'boom boom powoops ', positive
'the super red diva   stupid university ', positive
'this latest episode of newnownext is like full of awesome ', positive
'when you just want things to end remember to have faith because one day its all going to be alright ', positive
' pbnjen  thanks for the great tour and making me even more excited to work in pr  you rock and so does sampbwould love to work there', positive
'username you give me joyand you have for years you are such an amazing man and we are all lucky to know you ', positive
'username did you check out url we arent a dictionary but we are all about visual vocabulary  come have fun', positive
'artistic affirmation from a drunk lady was kinda just what i needed ', positive
'username  honey goodnight i am up really early in the morning busy day will catch up with you later tomorrow ', positive
'a je kaken rip od trenutek resnice link link link ', positive
'lamb chowmein for dinner tonight hhmm with slightly roasted buttered dinner rolls yum yum yum so hungry ', positive
'tweeting from my brand new sony psp just because i can  ', positive
'username hey you should go on tour sometime with your brother metro station is freakin awesome ', positive
'well tweeps im off i gotta have a shower then go get a haircut good bye everyone ', positive
'username ive just seen your flickr and ive fallen in love just wonderful awesome  ', positive
'username sorry it wasnt wrath of khan  but we made do ', positive
'juggernaut dr doom magneto amp xavier  ahahah today was a good day n__n', positive
'username well have a geek off next time you are in tahoe but you need to get miss vicky jay reciting star wars by then ', positive
' aww dont make me blush', positive
'trying to figure this thing out ', positive
'watching quotthe princess bridequot i want a wesley ', positive
'username you can buy my fiances duplex in terwillegar ', positive
'username i could really eat some cheese  i have a hankering for some austrian smoked cheese yum', positive
'username i am so fucking jealous of you girl have fun though  xx', positive
'username my bunnys name was lucy  you can go ahead and guess who she was named after lmao', positive
'username any updates for iphone os 30 yet i miss you guys ', positive
'denise i love you ', positive
'happy morning la toat lumea  ', positive
'username well you can always digg or stumbleboth have aided me greatly in wasting countless hours of my life ', positive
'vote for username url   yayy', positive
'played  gpokrcom busted some n00b arses  waiting for pokerstars freeroll to begin and having coffee', positive
'username quotconveniencequot of the remedy ltthats just cuz you are a doc  24', positive
'karaoke with xt on wed and drum lessons on thursday what a week ill work somewhere in there ', positive
'username type it on the blog post and print it ', positive
'username  obi und hornbach baumarkt via twittercom username  obi und hornbach baumarkt url url', positive
'username aw thankslets hope so i am more worried about geoffs teeth hope you are having a good day h or hb ', positive
'watching keith olbermannlate late rerun then its on to the daily show which is having michael j fox on as guest my high school crush ', positive
'username username we found a great chinese place to hang out at ', positive
'username heh thanks for advertising my skills ', positive
'username not at all  i was so offline from here for about 6 wks with my packing and then moving to vegas ', positive
'username im excited about the books you received too ', positive
'username 8 more days wahlberg then its you and me     finally', positive
'username if im following u  its mandatory u follow me ', positive
'username the dvd is with me will bring when we meet next ', positive
'username well i dunnoi didnt give him an ans yet  u kno who am i talkin bout', positive
'username how that big baby boy doing how are you and em doing have you figured out you may never get a full nights rest again ', positive
'username hurry up and be the first person to publish a book of twitters ', positive
'username  i like that one ive used it on a project here', positive
'playing with my new toys ', positive
